post_id	text	date	num_comments	num_likes	num_reposts	attachment_types
155367	В Ростовской области ветеран ВОВ, уничтоживший более 500 фашистов, умер в крайней бедности и был похоронен без почестей в канун юбилея Победы. Местная власть никакого интереса к ветерану не проявляла.	2015-05-12 09:00:14	9	59	21	photo,link
155329	«Мы строили, строили и, наконец, построили». В России с помпой анонсировали начало продаж компьютера «Эльбрус» за 200 тыс рублей. Главным элементом системы является процессор «Эльбрус-4с» российского производства.	2015-05-12 07:30:22	59	55	11	photo,photo,link
155275	В распоряжении РБК оказался доклад «Путин. Война», составленный группой экспертов с использованием наработок Бориса Немцова. Немцов узнал о 70 погибших российских военных под Дебальцево.	2015-05-12 00:33:00	27	140	31	photo,link
155259	Что-то Путину вечно не везет на ракурсы.	2015-05-12 00:06:23	17	230	37	photo,photo
155225	Завтра в Москве обнародуют доклад Немцова «Путин. Война». Трансляция будет 12 мая 2015 в 12:00 здесь: http://newcaster.tv/putin-war.html	2015-05-11 22:32:18	32	298	104	photo,link
155203	Евгении Васильевой в СИЗО не досталось тапочек. ТАПОЧЕК!	2015-05-11 20:44:58	20	83	9	photo,link
155156	Московская мэрия отказалась увековечить память Бориса Немцова.	2015-05-11 17:01:17	37	68	8	photo,link
155102	Президенту компании «Роснефть» Игорю Сечину, как выяснилось, оказывают дополнительную материальную помощь, возмещая затраты на оплату квартиры и воспитание детей до 23-летнего возраста.	2015-05-11 14:00:58	17	208	56	photo,link
155050	Астахов заявил, что данные о нарушении прав несовершеннолетней невесты в Чечне не подтвердились. Напомним, до этого он сказал, что обращения от девушки не поступало, а насильно у нас детей не защищают.	2015-05-11 12:09:32	50	97	21	photo,link
155005	Даже не верится. Такую идею испохабить...	2015-05-11 10:57:55	43	172	51	photo,link
154950	Депутат Госдумы из Чечни заявил, что свадьба главы РОВД и школьницы никаких законов не нарушает, а это все СМИ нагнетают.	2015-05-10 23:00:16	22	189	47	photo,link
154908	Тема пакта Молотова-Риббентропа вновь стала актуальной. Историки Андрей Зубов и Николай Сванидзе комментируют некоторые мифы об этом пакте и о Второй мировой войне в целом.	2015-05-10 21:18:47	29	76	18	photo,link
154846	Путин положительно оценил пакт Молотова-Риббентропа. Это заявление было сделано в ходе совместного пресс-подхода с канцлером Германии Ангелой Меркель.	2015-05-10 19:04:08	62	90	15	photo,link
154789	Слушайте, если бы люди несли портреты своих погибших родственников, выкинули бы они их по окончании? (	2015-05-10 18:11:52	59	287	101	photo,photo,link
154755	Вот они, настоящие «ветераны»: любитель косметичек Залдостанов и ряженный кизяк со звездой Героя Советского союза и Георгиевским крестом. Именно их и надо было звать на парад, а не настоящих героев войны!	2015-05-10 17:29:57	32	125	19	photo
154716	17-летнюю школьницу, которая приглянулась 57-летнему начальнику РОВД в Чечне, не удалось спасти от насильственного брака. Сегодня свадьба.	2015-05-10 13:52:43	32	327	98	photo,link
154607	Репортаж с военного парада.	2015-05-10 11:19:16	126	314	48	photo,photo,photo,photo,photo
154558	Людмила Петрановская о Дне Победы и невозможности осмысления исторического опыта страны.	2015-05-09 20:00:38	11	66	10	photo,link
154536	Для большинства обывателей 9 мая — дата окончания войны. Но на самом деле в этот день прекратились только широкомасштабные военные действия, а отдельные бои с нацистами, не желавшими сложить оружие, продолжались до второй половины мая. Основную часть этих боев после победы вынесли на себе войска Красной армии. Роман Попков написал очень крутой текст про места, где продолжалась война:	2015-05-09 18:01:24	28	71	8	photo,link
154510	Многие в последнее время говорят о слишком пышных торжествах на День Победы, но в Грозном, видимо, установили новую планку пафоса и пышности. На сегодняшнем параде там возложили нацистские знамена к ногам Рамзана Кадырова, а после этого «взяли Рейхстаг».	2015-05-09 15:34:52	25	62	14	video
154505	РЖД попросит из бюджета 140 млрд рублей при росте тарифов на 7,5%.	2015-05-09 13:35:08	3	90	11	photo,link
154495	Ради этого он и воевал... Фото недели.	2015-05-09 11:01:18	11	165	16	photo,link
154472	Лев Шлосберг: Я хочу пожелать всем вам самого главного – хочу пожелать мира, хочу пожелать, чтобы никто не погибал на войнах. Хочу, чтобы у всех вас были дети, и все они жили в мирной стране. Именно для этого в 1945 году великий народ одержал Великую Победу – для того, чтобы был мир. С Днем Победы, дорогие друзья!	2015-05-09 07:40:04	2	116	15	photo,link
154453	Дети чиновников будут учить студентов успеху. Ну да, кого еще может дать мастер-класс по успешному бизнесу, как не они.	2015-05-08 23:00:28	7	188	41	photo,link
154430	Путин обратил внимание на то, что в 2015 году вырос показатель смертности, отметив, что в первую очередь это связано с увеличением продолжительности жизни.	2015-05-08 21:55:57	18	138	20	photo,link
154413	В СИЗО Васильева сможет заказывать еду из ресторанов и заниматься спортом. Напоминаем, через месяц ей станет доступно условно-досрочное освобождение, так как она уже отсидела 2,5 года под домашним арестом. http://www.ntv.ru/novosti/1405158/	2015-05-08 21:01:02	14	72	12	photo
154403	Чуров назвал события на подмосковных выборах тренировкой срыва кампании-2016. Напомним, это те самые выборы, где наблюдатели пытались помешать фальсификациям, в результате чего одного из них избили так, что ему пришлось удалять селезенку. Похоже, Чуров на полном серьезе считает, что мешать фальсификациям — это значит мешать выборам.	2015-05-08 20:00:27	3	126	29	photo,link
154399	Это их победа. Депутаты-единороссы Камчатки присвоили себе Победу в Великой Отечественной войне.	2015-05-08 19:30:25	4	100	18	photo,link
154385	«Йод» подсчитал, сколько примерно штрафов придётся заплатить телевизионщикам за демонстрацию запрещенной в России символики нацистской Германии.	2015-05-08 18:39:25	10	74	10	photo,link
154359	Цинизм власть имущих просто зашкаливает. На Урале разорили могилу ветерана, захоронив на её месте родственника федерального судьи.	2015-05-08 17:00:54	14	83	23	photo,link
154324	Евгения Васильева, осужденная на пять лет колонии, сможет потребовать УДО уже в конце мая. Суд засчитал в качестве наказания домашний арест, который экс-чиновница Минобороны отбывала в своей квартире.	2015-05-08 15:54:43	20	72	19	photo,link
154249	Теперь хорошие новости: Васильевой дали 5 лет реального срока.	2015-05-08 15:28:00	63	155	15	photo,link
154179	На Кубани сотрудникам бюджетных учреждений угрожают увольнением, если кто не наденет георгиевскую ленточку, а школьникам — постановкой на учёт в полицию. В одном из вузов Краснодара весь преподавательский состав заставили надеть георгиевские ленты, а не надевшего — не допустили к занятиям...	2015-05-08 15:00:25	100	111	28	photo,link
154130	С Васильевой сняли еще одно обвинение.	2015-05-08 13:28:05	26	146	31	photo,link
154103	Мэру Новосибирска вручили подарок в память о скандальной «Монстрации-2015».	2015-05-08 12:00:53	18	107	12	photo,photo,photo,link
154081	Большой страховой обман. Институт страхования превратился в инструмент элементарной наживы. Мониторинг рынка страховых услуг, проведенный независимыми экспертами по просьбе Минфина, показал, что потребители крайне низко информированы о том, как работает этот рынок.	2015-05-08 11:00:16	4	49	12	photo,link
154054	Карту VISA в России заменит «Матрешка». Граждане предложили название для первой национальной платежной карты.	2015-05-08 10:00:57	38	27	5	photo,link
154037	Танк «Срамота». Реплика Антона Ореха на тему заглохшего на репетиции Парада Победы танка «Армата».	2015-05-08 09:00:46	31	79	14	photo,link
154028	Ответы на самые частые вопросы о праймериз Демократической коалиции.	2015-05-08 07:30:10	5	40	5	photo,link
153973	Два года назад все обсуждали открытие кафедры теологии в Национальном исследовательском ядерном университете «МИФИ». Тогда этот абсурдный случай воспринимался как единичный. РПЦ этого показалось мало. Теперь они настаивают на открытии кафедр теологии в других государственных вузах по всей стране.	2015-05-07 22:32:10	40	125	31	photo,link
153939	На задержанных 6 мая 2015 г. на Болотной площади завели пять дел. Всего на Болотной площади задержали 65 человек.	2015-05-07 21:30:16	23	60	10	photo,link
153914	В Ростовской области произошел очередной летальный случай с человеком, страдающим от онкозаболевания. Возбуждено уголовное дело против 74-летнего мужчины, по его словам, задушившего свою больную жену по ее собственной просьбе.	2015-05-07 20:00:41	26	32	9	photo,link,poll
153906	ФСКН зачем-то понадобился баян за 200 тысяч.	2015-05-07 19:01:05	7	86	16	photo,link
