post_id	text	date	num_comments	num_likes	num_reposts	attachment_types
152543	Шутка вечера.	2015-05-01 23:55:45	27	255	29	photo,link
152532	Организатор монстрации в Новосибирске задержан представителями центра «Э». Видимо, мэр всё-таки обиделся на «Выходи, подлый трус!».	2015-05-01 23:00:50	1	105	22	photo,link
152497	Интересное статистическое сравнение жизни обычного жителя России и такого же обычного жителя стран Запада. Основные вехи жизни в цифрах: от рождения до смерти.	2015-05-01 21:00:17	5	59	16	photo,link
152485	Моим первым постом в «Команде» был пост о том, что на Парад Победы не приедут западные лидеры, зато к нам приедет Ким Чен Ын. Спустя полтора месяца даже он посчитал, что стоять на одной трибуне с Путиным —  не комильфо.	2015-05-01 20:01:05	8	104	18	photo
152463	Коуб с сегодняшним Милоновым. Оригинал - https://www.youtube.com/watch?v=VQbZEPgEjlE	2015-05-01 19:00:57	10	40	0	video
152442	Кобзон займется развитием стрельбы из лука в России.	2015-05-01 18:01:00	18	27	4	photo,link,poll
152422	С 1 мая вступила в силу более жёсткая версия антипиратского закона.	2015-05-01 17:00:37	14	189	38	photo,link
152403		2015-05-01 15:18:37	26	127	39	photo,poll
152382	Требуем допросить Кадырова, Делимханова, Геремеева — сегодня через весь Невский. «Свободу Олегу Навальному», — скандирует толпа.	2015-05-01 14:25:09	10	242	28	photo,link
152367	В Новосибирске прошла несогласованная «Монстрация». Мэр Анатолий Локоть к участникам так и не вышел. Видимо, обиделся на лозунги «Выходи, подлый трус!» и «Не мужик!». Акция получилась очень креативной.	2015-05-01 13:40:14	2	161	19	photo,link
152352	Полиция остановила рвущегося к ЛГБТ-колонне Милонова.	2015-05-01 12:56:39	20	129	15	photo,link
152343	Олимпиада в Сочи, казаки, Евгений Витишко и губернаторская дача, Кущевка, Крымск... Каким в Краснодарском крае запомнят Александра Ткачева, читайте в репортаже Ильи Азара.	2015-05-01 12:30:24	2	63	16	photo,link
152334	Красная площадь, только что.	2015-05-01 11:58:04	18	226	35	photo
152320	В Минске в пьяном состоянии была задержана гражданка РФ за рулем своего Lexus CT200: «Я в России так ездила. Я честно скажу: у меня мама в суде работает. Я что хотела, то и делала. А тут нельзя...» Итог: 850 USD штрафа и лишение прав на 3 года. Вот видите, не всегда это срабатывает.	2015-05-01 11:05:13	9	189	40	photo,link
152305	Дождь сообщает: СРОЧНО. Несогласованная Монстрация собралась у мэрии Новосибирска. Полиция строит заграждения, участники требуют мэра Локотя.	2015-05-01 10:01:04	15	92	10	photo,photo,link
152295	Выяснилось, что в собяно-ликсутовском прокате велосипедов каждая поездка обходится в 3700 рублей. Расследованию сильно мешала челюсть, которая постоянно падала вниз от масштаба поразительного воровства/транжирства бюджетных денег и общей бестолковости мэрии Москвы и её департамента транспорта.	2015-05-01 08:40:11	6	189	32	photo,link
152262	Главная забава последних часов — Microsoft пытается угадать ваш возраст по фото. К политике отношения не имеет, просто интересно )	2015-05-01 01:26:59	19	87	12	photo,link
152250	Убыток #РЖД за 2014 год превысил 99 млрд руб. Более того, Якунин задним числом пересчитал 2013 год, и теперь там не прибыль 37 млрд, а убыток 200 млрд!	2015-05-01 00:30:07	9	146	38	photo,link
152244	«Ведомости» разобрались, почему Партию Прогресса не зарегистрировали. Среди оснований — несовпадение почтового индекса с базой Минюста, выделение названия отделения жирным шрифтом и отсутствие пробела в начале строки.	2015-04-30 23:22:46	8	242	59	photo,link
152233	Ахахаха, коммент )	2015-04-30 22:28:41	3	276	23	photo
152213		2015-04-30 21:46:09	19	130	29	photo,link
152204	Справедливость по-путински: Кулаченкова — в розыск, Сердюкова — на госслужбу.	2015-04-30 21:00:54	3	112	24	photo,link
152195	История с покупкой здания вологодским отделением Пенсионного Фонда за 350 миллионов обрастает все новыми подробностями. А правоохранительные органы все также настойчиво и принципиально не хотят работать.	2015-04-30 20:00:37	3	45	15	photo,link,poll
152193	Обязательные к прочтению сочинения финалистов ежегодного всероссийского конкурса «Человек в истории. Россия — ХХ век» в номинации «Цена Победы».	2015-04-30 19:01:10	0	29	9	photo,link
152184	Издатель комикса «Маус» в России Варвара Горностаева рассказала о своём отношении к абсурдной ситуации, сложившейся вокруг одного из наиболее пронзительного произведения о Холокосте.	2015-04-30 18:01:18	3	31	5	photo,link
152153	В свете споров об отмене материнского капитала РБК попытались разобраться с главным вопросом: достигло ли его введение главной целевой задачи — улучшения демографической ситуации в стране.	2015-04-30 17:15:20	20	36	6	photo,link
152129	Ему 57, ей — 17. Глава чеченского РОВД захотел жениться и пригрозил, что заберет девушку силой, а семью не пощадит. По просьбе родственников Новая Газета просит о помощи: помогите распространить информацию. Времени на официальные запросы (из-за праздника и даты ультиматума) нет. Надежда только на то, что дело станет резонансным и поэтому осуществить задуманное у Нажуда Гучигова не получится.	2015-04-30 16:41:55	39	170	72	photo,link
152110	Семь крупнейших российских нефтегазовых компаний, в числе которых «Роснефть», «Лукойл» и другие, выступили против государственной политики по закупкам и импортозамещению. Им не нравится, что их хотят принудить покупать только отечественное. А раньше, видимо, думали, что их это не коснется.	2015-04-30 16:00:56	8	127	35	photo,link
152102	В интервью радиостанции «Говорит Москва» глава Чечни Рамзан Кадыров заявил, что если его показания помогут в расследовании преступления, то он «с удовольствием поможет следствию».	2015-04-30 15:01:10	3	28	2	photo,link
152085	«Фонд юридического волонтерства» борется с бюрократической машиной за то, чтобы в больницах ввели нормальные правила посещения для родственников больных детей. А на ваш взгляд, если ребенок попал в больницу, имеют ли право родители быть рядом?	2015-04-30 14:08:05	53	19	3	photo,link,poll
152068	Без реформы системы управления проведение других реформ невозможно. Если сейчас не предпринять меры, России не стоит ждать ни процветания, ни конкурентоспособности, заявил глава Сбербанка Герман Греф.	2015-04-30 13:00:04	13	66	10	photo,link
152039	Депутаты Башкортостана предложили штрафовать за голодовки.	2015-04-30 12:00:57	12	92	20	photo,link
152033	Басманный суд Москвы санкционировал заочный арест сотрудника Фонда борьбы с коррупцией Н.Кулаченкова в рамках уголовного дела о краже картины «Плохой хороший человек». Вот вам недавнее выступление Навального в суде, где он рассказывает, как над делом о плакате с привокзального забора трудилось 12 следователей по особо важным делам, и об истинных причинах этого. Смотреть с 11.25.	2015-04-30 11:30:37	14	70	15	video,link
152027	Леонид Волков — о первом дне подготовки к праймериз в Новосибирске: «Семь-восемь кандидатов на праймериз уже точно есть».	2015-04-30 11:00:35	14	30	4	photo,link
152009	Соседние новости на сайте ТАСС:	2015-04-30 10:01:22	12	97	18	photo,link
152001	В правительство внесена директива о продлении полномочий Сечина на посту президента «Роснефти».	2015-04-30 09:01:01	5	120	36	photo,link
151996	Если вы из Калуги, Костромы или Новосибирска - записывайтесь волонтерами!	2015-04-30 07:30:10	0	40	5	photo,link
151973	По адресу, где располагается Храм Христа Спасителя, зарегистрировано 26 юридических лиц, следует из информации, размещенной на сайте ФНС. Ругать церковь по их просьбе нельзя, поэтому без комментариев, просто как факт.	2015-04-30 00:33:50	16	315	65	photo,link
151959	Работа в регионах начинается! Нам нужны волонтёры в Новосибирской, Калужской и Костромской областях. И люди из любых регионов, готовые ехать в эти области. А также люди в Москве, чтобы решать общие инфраструктурные вопросы. Вот форма предварительной записи волонтёров: https://volonter.dem-coalition.org. Хотите сложной, но очень интересной работы на стороне Сил Добра в общей команде — записывайтесь.	2015-04-29 23:33:30	8	48	10	photo,link
151952	В семье Патрушева обязаны быть талантливыми все: и старший сын, и младший, и даже племянник. О его сыновьях мы знаем много, а вот о последнем — расследование «Новой газеты».	2015-04-29 23:00:08	0	81	12	photo,link
151930	Прекрасно, когда у власти находятся образованные и не лишенные художественного восприятия люди. Слова томского губернатора о нынешнем кризисе — просто песня. И не кризис это вовсе, а «экономическая непогода»:	2015-04-29 22:00:26	16	53	11	photo,link,poll
151903	Парламент Никарагуа ратифицировал договор с Россией об исследовании космического пространства. И вновь стоит подивиться успехам нашей дипломатии, этому прозорливому и расчетливому выбору партнеров, браво!<br>http://www.echo.msk.ru/news/1539270-echo.html	2015-04-29 21:00:42	20	83	17	photo
151889	Гендиректор ИПЕМ Юрий Саакян подготовил меморандум «О необходимости реформирования подходов к регулированию естественных монополий». Где-то в шубохранилище в Подмосковье обеспокоенно трепещет голодная моль, чуя, что шуб может больше и не быть.	2015-04-29 20:00:04	0	31	8	photo,link
151874	Сирот из московского детдома отправляли в психушку в наказание за плохое поведение. Там привязывали к кроватям и принудительно «лечили». Ну хоть гейропейцы не усыновили со своей содомией.	2015-04-29 19:00:07	12	159	42	photo,link
151861	«Когда у общества нет цветовой дифференциации штанов, то нет цели! А когда нет цели — нет будущего!» (с) Кин-Дза-Дза. О необходимости более четкой регламентации положенных чиновникам благ заявил президент Путин. В качестве примера глава государства привел существовавшую во времена СССР практику. Все знали, «кому что положено», и статус чиновника можно было определить по марке его служебного автомобиля, уточнил Путин. Министры ездили на «Чайках», чиновники пониже уровнем — на «Волгах», а кому-то был положен только «Москвич», напомнил президент. «Все было расписано. У нас, к сожалению, пока такой четкой регламентации нет, но об этом, безусловно, надо подумать», — сказал Путин.	2015-04-29 18:00:45	19	67	14	photo,link
151854	Прибыль «Газпрома» по итогам 2014 года упала чуть более чем в семь раз — с 1,139 трлн. рублей до 159 млрд. рублей, говорится в официально отчете компании, который был опубликован на сайте компании в среду, 29 апреля.	2015-04-29 17:01:21	5	42	12	photo,link
151831	Новость из разряда «очевидное невероятное». Генпрокуратура предложила конфисковывать предположительно незаконно нажитое имущество. Соответствующие поправки касающиеся этой инициативы направлены президенту, в Госдуму и профильные субъекты.	2015-04-29 16:16:30	17	53	8	photo,link
151808	Всемирный русский народный собор объявил, что проявление ненависти к членам Русской православной церкви и осквернение религиозных святынь являются выражением русофобии.	2015-04-29 15:00:44	13	54	8	photo,link
151790	Навальный: «Партия прогресса» продолжит работу, несмотря на то что Минюст лишил ее регистрации. Партия — это не бумажка, а люди и идеи. И первое, и второе у нас есть.	2015-04-29 14:00:55	11	116	13	photo,link
151765	Московские власти планируют заменить все бордюры в столице в течение трех лет, заявил вице-мэр по вопросам ЖКХ Петр Бирюков. По самым скромным подсчетам, на это понадобится около 10 млрд рублей.	2015-04-29 13:01:17	17	57	8	photo,link
151730	Вначале байкеров из клуба «Ночные волки» не пустили в Берлин, затем обыскали их косметички и не пустили в Польшу. Лидер клуба пытается объяснить, что «русофобия» не пройдет. Послушайте эту короткую речь. Оратор прям )	2015-04-29 12:00:41	37	110	21	video
151702	Компания «Верхнечонскнефтегаз» через суд пытается добиться отмены запрета на предоставление ей льгот по экспортной пошлине. В случае победы дочернее предприятие «Роснефти» сможет получить из бюджета более 60 млрд руб. Представители Министерства энергетики считают, что «Роснефть» пытается злоупотребить правом на получение льгот.	2015-04-29 10:30:16	4	47	9	photo,link
151684	Навальный обжалует в ЕСПЧ отмену регистрации «Партии прогресса». В связи с очевидной незаконностью решения, право партии участвовать в выборах может быть восстановлено уже в течение двух лет. Напомним, по п. 7 ст. 15 Федерального закона от 11.07.2001 №95-ФЗ «О политических партиях» сроки регистрации отделений продлеваются в случае, если отказ в регистрации обжалуется, так что претензии Минюста необоснованы.	2015-04-29 09:00:50	6	137	35	photo,link
